title,reviews,id,latitude,longitude,avg_ratings
The Suites @ Times Square,"I recently stayed at The Suites @ Times Square, and it exceeded my expectations. …;Not a Hotel - Stay away!!! Scam!!!
This place is not a hotel. It seems like there is a group of Indian Nationals who rented or purchased some apartments in this building and they are trying to …;Stay away!!! NOT recommended!!!
It felt like a scam as we entered the lobby. There's no front desk, no place we could sit down, just a couple of Indian guys who came to us and managed …;Amazing trip in most affordable price. Call and nego for the right guy and look for right choice and nego for the best affordable price with Razu +60 16-618 4467;Good hotel staff service. Well-mannered and friendly with kids. Able to play ""pretend"" game with my sons on my first day here working with the concierge staff handling the luggages..my sons totally love it and is able to be more obeidient …;Very nice for living with families. Little bit costly but having so many facilities to stay here. Can enjoy the place at night also. The environment is very neat and clean specialy secure and the staff are also so nice and helping in …;We booked in as a big group and as soon as we arrived at the hotel it took a very long time to organise our rooms. Theres no seating area in the lobby so we sat on the floor as we waited only to be told that we are not allowed to sit on the …;Cons : No telephone, no iron board, no hairdryer, no room slipper, no face towel. Only one access card was provided to each room. One of the lamps in the bedroom was not working. A small part of the parquet floor in the bedroom was …;Definitely one of the better apartment suites. Very reasonable.priced and service is better than most. Not hotel quality service of course but it's there and it's good. …;Really Awesome. But cooking items will get only if u stay more than 15 Days. You can enjoy lowest shopping price shopping. Nice South Indian hotels near by.",1,3.142648,101.710672,4.1
D'Majestic Place by Swiss-Garden,"Our room was mostly clean but the stank... It def had a sewer smell that I imagine most rooms also have. There was also a baby roach one night but the powerful A/C had it barely moving. The tv had no channels and was not a smart tv so that …;It’s a reasonable priced hotel. But it’s a little strange. You have to take of your trash and get rid of yourself, I got one normal sized towel for 3 days. I killed about 20 small black bugs, trapped one bigger under my soap dispenser and …;For a budget hotel room near KL, it’s reasonable but don’t expect any usual big hotel’s services. Room is clean and reasonable well kept.
Location for a reasonable priced great foods are excellent. Not the best of the …;Location of the hotel is strategic. In front of Jalan Pudu (Main Road).

Room was geat. Clean, spacios, and the love the windows, its big. …;I stayed in one Airbnb in the 18th floor and the apartment was nice. The only thing is completely unmaintained is the gym. The bike machines are broken, only two of the running ones work and the heavy weight machine is broken too. ACs are completely broken and lights are turning on and off.;Good place to stay but the host has not returned my deposit of 200 RM till today.
Before this, another host didnt give me my key for my airbnb booking;Room was pretty nice and the view from the pool is a showstopper. Had a few cons such as a mysterious smell from the bathroom, next to a loud karaoke bar and a few cockroaches started appearing.;Please keep away from this apartment. I can only recommend 5% of this place due to following reasons. …;Great facilities. Location is little bit outside the centre Bukit Bintang but overall the experience of stay is wonderful. Many
Restaurants available nearby.;Room is ok but downstairs have very loud karaoke noise which can be heard at level 12.   Car park entrance and pathways is very narrow. Car park area is very very very dirty.",1,3.136627,101.711672,4.0
The Place @ Cyberjaya,,1,2.9372015,101.6623624,3.7
D PLACE CAFE,"Prawn sambal with petai and the sambal serve with nasi goreng kampung was very nice. Sambal alone reminds me of sambal nasi lemak, and its very tasty and like the spiciness. I wish i could taste the nasi lemak, too bad its no longer available on the menu.;Fish and chip, fish was damn dry and overcooked.. spaghetti aglio olio was like worse, too much of herbs.. was bitter.. like no point",1,2.9371265,101.6621411,3.7
T Place Kopitiam,"The pork rib noodle was labelled recommended. It's super normal and tastes like home when we mix the black soy sauce and fried onion oil. The black soy sauce is too strong, beside that I can’t taste any others! If you are looking for a …;#sunday #foodspotting
Today, we landed ourselves for #lunch in
T Place #kopitiam …;Clean and comfortable kopitiam for decent food. They offer meehunkueh, claypot yee mee, nasi lemak, fried noodles, asam laksa and dim sum. We tried their claypot yee mee, nasi lemak, fried carrot cake and cham iced, portions were huge and …;We went for dinner. New chef with 30 years experience .. just started
their business 3 weeks ago.  Nice food , clean and comfortable. Price reasonable. Definitely will come again;Very good place to have breakfast. Tasty soft boiled egg. The environment and service justified for the price. Probably need a more shining sign board to attract neighbouring residents to explore the gem.;Excellent, attentive service. Good place to bring kids. Clean, well kept, even toilets are spotless. Despite the higher pricing I felt comfortable bringing my kids here. The drinks i.e. Hor ka sai are good & inexpensive. Menu quite …;By far the best asam laksa I had in town. Soup is so thick and tasty. Kopi ice have some room of improvement.;The food is overpriced for the portion.

Ordered prawn mee, cost RM12 and the portion is so small and it taste diluted. …;Bad experience. Roasted pork rice and only with belly 🫡

Drinks is not hot. Price is over. 🫣 …;Ordered pan mee and it turns out quite normal. Food was below average and the drinks served was tasteless. Price is overrated. You can easily get better quality food with this price range around this livelihood. First visit here, definitely not recommend it.",1,2.9467692,101.5431988,3.7
Klinik Pergigian Dental Place Cyberjaya,"the best dental clinic so far, the doctor and staff really friendly. im done with scalling and polishing, maybe after this im going to do another treatment at dental place clinic 🤩 the clinic also provided parking for the patient and its very easy to park our car. thank you dental place !! i really enjoy the moment !!!🥰 …;The best dental clinic so far 😍Immediately became my favourite dentistry. Im done with scalling and polishing, the dentist herself is such a nice, honest, soft-spoken lady.Even the staffs are very, very nice & friendly ! Will come here for …;Did my scaling and polishing here at this clinic and i am satisfied with their service. Beautiful interior, reasonable price and not to mention, the staff and doctor were nice as well. Recommended!;Went there for polishing and scaling and had the best experience over here. Professional, friendly and soft spoken doctor along with her assistant which makes it easy for someone who's not comfortable going to a dentist. Reasonable price …;Had the most unpleasant experience here. A friend chipped his tooth and we went to this clinic to get it bonded but the Doctor wasn't even bothered to look at the remaining piece of tooth to be attached. Immediately said that we have to …;Went here for a hole in my tooth, the dentist was really nice and gentle, didnt feel too much pain as i feared, just booked an appt for scaling :);Immediately became my favourite dentistry. Went here for braces consultation and the dentist herself is such a nice, honest, soft-spoken lady. She gave easy explanation that a non-medical person like me to understand properly. Even the …;Good service,Dr.very friendly, klinik yang selesa..thank you Dental Place👍will come again. …;Excellent services. Nice place. Reserve parking available.;The clinic, doctor & staffs are very kids friendly. Love the clinic’s ambience.
Surely will be our family’s dental clinic.",1,2.9233233,101.6607139,4.8
Aroi Thai @ Main Place,"Butter Curry Salted Egg Chicken rice is nice, u can taste the buttery taste n chicken is crispy 9/10, Twisted Cheese Butter Curry is good as in taste n Chicken is crispy & hot 9/10,  Mince Meat Basil rice (not salty n spicy enough) 6/10, …;Went to aroi thai here in main place to check it out. Heard of good news and tastes here so went experimenting. …;Came here during lunch. The food taste were so-so. The tom yam taste sour more than spicy. The Mango Ice Cream used cordial mango with nata de coco. But the one thing I dislike the most in this shop is the thai tea. The taste is really horrible. Price was okay though. The waiters were okay.;tomyam tastes not bad but not good 😐👍 instead of put meatball (chicken) in tomyam, it is better to put squid. then the taste are more make sense ❤️ but anyway, applause to the staff. they're really kind to customer 😊 …;Often come for its cheap *Rm2.20 boat noodles, rice and pad Thai* is also available! Just order different one to carve my urge for some simple Thai food. …;Located at 2nd floor and away from the much busier food outlets on LG floor. The outlet is much more bigger and more tables that the LG eating outlets. This outlet is clean and cosy with minimal crowd. The food portion is big and pricing is reasonable with their selected sets.;This review is about food hygiene experience.

Note to Parents with children's. Please choose their menu wisely. …;Had the Thai chili paste chicken set. Sedap. Sweet, sour, spicy semua balance.;The food was amazing! The environment was okay, clean and the staff there was very helpful and friendly. I will surely recommend my family and friends to go there.;Service was good. The priced were quite cheap. For RM1.90 per bowl you get to experience different varieties of Thai street food. Love their red rubies water chestnuts, tom yam bee hoon, phad thai, tom yam fried rice, crispy spinach and …",1,3.02601,101.5809349,4.0
Restoran Patin Place,"I love the Malay style food here. Full of wok Hei and authentic taste. Atmosphere is comfortable and the staffs are friendly too.;Best tempoyak I ever had and not surprisingly it's owned by Chinese. The standard of food here is great n very authentic Malay style.
Family run, Very friendly owner n staff. …;Been staying in puchong for 3 years, first time come across this restaurant. Me and my husband were blown away by the patin tempoyak. It was really nice! We ordered tempoyak dua rasa and kailan hongkong if I'm not mistaken. It was so …;Was alone having dinner & tried Dry Steamed Patin Tempoyak topped with smelly beans aka petai.
This is a real game changer in tempoyak dish. Recommended a must try dish.
The prawn broccoli is really nicely stir fried with the freshness of the prawn;Everything was delicious, home cooked feel but the deep fried kangkung was weird bland and pricey.;First time here purposely for 2022 Iftar with my beloved family. Honestly your menu and taste are mind blowing. It is exceeded my family expectation. …;Visited here again and again as the food is really satisfying. Nasi goreng temerloh, their signature patin tenpoyak are all indulging. Highly recommended;The food here was amazing, the saur mango sauce so yummy and open my appetite. The fried vege super yummy too. 🤤 …;Owner and staffs are from state of Pahang, they’re all very warm and friendly and they ensure top notch customers service. Food is delicious and very authentic. Price is reasonable, worth every penny, fresh and tasty. Restaurant is …;Recommended!!! It was my first time bringing my whole family members, total of 11 persons including two of my friends, dining here and including two of my younger brothers celebrating their birthdays here too! Seriously, the staffs very …",1,2.9922879,101.6213985,4.4
Home place Yati,Place to eat with fast serve..;There are many restaurants;𝘈𝘭𝘭𝘭 𝘪𝘯 𝘪𝘯𝘪 …;Best 👍 …;your gg,1,3.034354,101.411315,3.8
African Food Palace Amala joint,"The best place for African food. Pricing is on the high end, but it's so worth it. Amala is the softest I've ever had, roundabout clean and juicy, portions are big and filling. Owner is very friendly and welcoming.;The food was delicious and as someone tasting African food for the first time, it's remarkable. …;Thumbs Up for African Food Palace - Amalia Joint!

We Had an amazing time at African Food Palace - Amalia Joint! Delicious African cuisine, great vibes, and friendly staff. Highly recommend!;Very good and tasty food for the price. Very good and friendly service. Highly recommended for African food;Best african(nigerian) food in malaysia located in cyberjaya . Not to miss the jollof rice and awesome egusi soup . A must try for all crave for new cuisine malaysians . HALAL african cuisine . Warmest and most humble welcome by the chef Madam Maryam . Shall repeat !;It was simply amazing! Their service, food and the relaxed ambience was 💯 10/10 would recommend it 😊 …;love to eats african food even not remember the name😅but the staff n madam really helpful to help me order..craving satisfied 👍👍good job #africanfoodtakeaway …;I enjoy everything about this place. I would like to recommend you to experience African meals at this place. It's a pure African dishes and you get what you paid. I assume myself of not only pay to eat, but also pay to enjoy the culture and tradition through food.;I've ordered a number of times, food has always been consistently good and made with love. Heartwarming comfort food. Owner is very friendly and warm. Food portion is large, and fulfilling- for those who thinks it's pricey- it's definitely worth it!;Im a big fan of African food and it's not easy to find halal ones. If you are looking to try a delicious African cuisine, this is where you go",1,2.9370558,101.6622415,4.8
The Palace Place,,1,3.1385059,101.6869895,5.0
